date,open,high,low,close,volume
2024-01-02,1500.0,1509.53,1487.36,1500.0,28565033
2024-01-03,1497.87,1508.03,1462.74,1480.54,8589464
2024-01-04,1479.47,1482.46,1462.49,1472.51,9141054
2024-01-05,1474.61,1531.4,1463.13,1514.81,24761932
2024-01-08,1510.37,1553.95,1497.31,1536.52,26558925
2024-01-09,1540.33,1542.87,1536.72,1539.24,18161906
2024-01-10,1542.42,1547.47,1490.05,1505.9,12483317
2024-01-11,1502.52,1508.03,1497.85,1507.67,23163563
2024-01-12,1507.46,1507.52,1455.81,1486.2,6326117
2024-01-15,1480.66,1489.96,1462.52,1470.51,20622755
2024-01-16,1469.4,1506.75,1448.29,1485.71,10154565
2024-01-17,1484.65,1512.53,1438.61,1458.63,4356953
2024-01-18,1458.08,1474.65,1456.14,1469.64,24722941
2024-01-19,1469.24,1474.53,1456.98,1473.07,14934258
2024-01-22,1470.4,1481.09,1401.49,1427.0,18605906
2024-01-23,1423.01,1443.48,1420.21,1443.24,24610531
2024-01-24,1442.97,1477.21,1440.72,1467.68,18433815
2024-01-25,1467.69,1519.43,1466.19,1516.64,16874447
2024-01-26,1516.04,1541.37,1493.77,1506.96,3227565
2024-01-29,1501.4,1516.1,1496.38,1511.34,9555741
2024-01-30,1506.46,1554.5,1504.07,1529.03,21264315
2024-01-31,1534.41,1536.56,1529.62,1529.85,17818093
2024-02-01,1529.87,1556.06,1484.06,1492.69,6882356
2024-02-02,1495.63,1501.34,1458.75,1460.23,1827517
2024-02-05,1457.5,1473.83,1435.32,1447.25,15319522
2024-02-06,1448.89,1448.97,1389.08,1390.08,16127859
2024-02-07,1385.74,1388.47,1374.32,1374.4,1114129
2024-02-08,1370.31,1391.02,1365.32,1377.1,9143394
2024-02-09,1374.71,1384.86,1351.77,1372.04,25586283
2024-02-12,1373.17,1392.44,1345.22,1363.73,6084437
2024-02-13,1360.05,1373.19,1332.06,1338.24,5301140
2024-02-14,1333.83,1351.69,1290.06,1304.66,12359970
2024-02-15,1307.54,1319.35,1270.28,1284.49,5334890
2024-02-16,1281.93,1334.47,1259.17,1309.76,7324790
2024-02-19,1309.68,1315.21,1286.08,1297.37,7877628
