date,open,high,low,close,volume
2024-01-02,10.00,10.15,9.85,10.05,850000
2024-01-03,10.05,10.20,9.95,10.12,920000
2024-01-04,10.12,10.28,10.00,10.18,1050000
2024-01-05,10.18,10.35,10.08,10.25,1100000
2024-01-08,10.25,10.40,10.15,10.30,980000
2024-01-09,10.30,10.45,10.20,10.28,1020000
2024-01-10,10.28,10.42,10.18,10.35,1080000
2024-01-11,10.35,10.52,10.28,10.42,1150000
2024-01-12,10.42,10.58,10.35,10.50,1200000
2024-01-15,10.50,10.68,10.42,10.62,1180000
2024-01-16,10.62,10.78,10.55,10.70,1220000
2024-01-17,10.70,10.85,10.62,10.75,1250000
2024-01-18,10.75,10.90,10.68,10.82,1190000
2024-01-19,10.82,10.98,10.75,10.90,1280000
2024-01-22,10.90,11.08,10.82,11.00,1320000
2024-01-23,11.00,11.18,10.92,11.08,1350000
2024-01-24,11.08,11.25,11.00,11.15,1290000
2024-01-25,11.15,11.32,11.08,11.22,1310000
2024-01-26,11.22,11.38,11.15,11.28,1260000
2024-01-29,11.28,11.45,11.20,11.35,1340000
2024-01-30,11.35,11.52,11.28,11.40,1280000
2024-01-31,11.40,11.55,11.32,11.48,1250000
2024-02-01,11.48,11.65,11.40,11.55,1320000
2024-02-02,11.55,11.72,11.48,11.60,1290000
2024-02-05,11.60,11.78,11.55,11.68,1270000
2024-02-06,11.68,11.82,11.60,11.72,1310000
2024-02-07,11.72,11.88,11.65,11.78,1280000
2024-02-08,11.78,11.95,11.72,11.82,1320000
2024-02-09,11.82,11.98,11.78,11.88,1260000
2024-02-19,11.88,12.05,11.82,11.95,1350000
2024-02-20,11.95,12.12,11.88,12.05,1240000
2024-02-21,12.05,12.20,11.98,12.10,1280000
2024-02-22,12.10,12.25,12.02,12.15,1220000
2024-02-23,12.15,12.32,12.08,12.22,1250000
2024-02-26,12.22,12.38,12.15,12.28,1270000
2024-02-27,12.28,12.45,12.22,12.32,1290000
2024-02-28,12.32,12.48,12.28,12.38,1310000
2024-02-29,12.38,12.55,12.32,12.42,1280000
2024-03-01,12.42,12.58,12.38,12.48,1320000
2024-03-04,12.48,12.65,12.42,12.52,1260000
2024-03-05,12.52,12.68,12.48,12.55,1240000
2024-03-06,12.55,12.72,12.52,12.60,1280000
2024-03-07,12.60,12.78,12.55,12.65,1220000
2024-03-08,12.65,12.82,12.60,12.70,1250000
2024-03-11,12.70,12.88,12.65,12.75,1270000
2024-03-12,12.75,12.92,12.70,12.80,1290000
2024-03-13,12.80,12.98,12.75,12.85,1310000
2024-03-14,12.85,13.02,12.80,12.90,1280000
2024-03-15,12.90,13.08,12.85,12.95,1320000
2024-03-18,12.95,13.12,12.90,13.00,1260000
2024-03-19,13.00,13.18,12.95,13.05,1240000
2024-03-20,13.05,13.22,13.00,13.10,1280000
2024-03-21,13.10,13.28,13.05,13.15,1220000
2024-03-22,13.15,13.32,13.10,13.20,1250000
2024-03-25,13.20,13.38,13.15,13.25,1270000
2024-03-26,13.25,13.42,13.20,13.30,1290000
2024-03-27,13.30,13.48,13.25,13.35,1310000
2024-03-28,13.35,13.52,13.30,13.40,1280000
2024-03-29,13.40,13.58,13.35,13.45,1320000
2024-04-01,13.45,13.62,13.40,13.50,1260000
2024-04-02,13.50,13.68,13.45,13.55,1240000
2024-04-03,13.55,13.72,13.50,13.60,1280000
2024-04-08,13.60,13.78,13.55,13.65,1220000
2024-04-09,13.65,13.82,13.60,13.70,1250000
2024-04-10,13.70,13.88,13.65,13.75,1270000
2024-04-11,13.75,13.92,13.70,13.80,1290000
2024-04-12,13.80,13.98,13.75,13.85,1310000
2024-04-15,13.85,14.02,13.80,13.90,1280000
2024-04-16,13.90,14.08,13.85,13.95,1320000
2024-04-17,13.95,14.12,13.90,14.00,1260000
2024-04-18,14.00,14.18,13.95,14.05,1240000
2024-04-19,14.05,14.22,14.00,14.10,1280000
