date,open,high,low,close,volume
2024-01-01,149.95,150.10,149.90,150.00,1000000
2024-01-02,150.05,150.20,149.95,150.10,1000000
2024-01-03,150.15,150.30,150.05,150.20,1000000
2024-01-04,150.25,150.40,150.15,150.30,1000000
2024-01-05,150.35,150.50,150.25,150.40,1000000
2024-01-08,150.45,150.60,150.35,150.50,1000000
2024-01-09,150.55,150.70,150.45,150.60,1000000
2024-01-10,150.65,150.80,150.55,150.70,1000000
2024-01-11,150.75,150.90,150.65,150.80,1000000
2024-01-12,150.85,151.00,150.75,150.90,1000000
