date,open,high,low,close,volume
2024-01-02,10.00,10.20,9.80,10.10,1000000
2024-01-03,10.10,10.30,10.00,10.25,1100000
2024-01-04,10.25,10.40,10.10,10.35,1200000
2024-01-05,10.35,10.50,10.20,10.45,1150000
2024-01-08,10.45,10.60,10.30,10.55,1050000
2024-01-09,10.55,10.70,10.40,10.65,1100000
2024-01-10,10.65,10.80,10.50,10.75,1200000
2024-01-11,10.75,10.90,10.60,10.85,1250000
2024-01-12,10.85,11.00,10.70,10.95,1300000
2024-01-15,10.95,11.10,10.80,11.05,1200000
2024-01-16,11.05,11.20,10.90,11.15,1150000
2024-01-17,11.15,11.30,11.00,11.25,1100000
2024-01-18,11.25,11.40,11.10,11.35,1050000
2024-01-19,11.35,11.50,11.20,11.45,1000000
2024-01-22,11.45,11.60,11.30,11.55,950000
2024-01-23,11.55,11.70,11.40,11.65,900000
2024-01-24,11.65,11.80,11.50,11.75,850000
2024-01-25,11.75,11.90,11.60,11.85,800000
2024-01-26,11.85,12.00,11.70,11.95,750000
2024-01-29,11.95,12.10,11.80,12.05,700000
2024-01-30,12.05,12.20,11.90,12.15,650000
2024-01-31,12.15,12.30,12.00,12.25,600000
2024-02-01,12.25,12.40,12.10,12.35,550000
2024-02-02,12.35,12.50,12.20,12.45,500000
2024-02-05,12.45,12.60,12.30,12.55,480000
2024-02-06,12.55,12.70,12.40,12.65,460000
2024-02-07,12.65,12.80,12.50,12.75,440000
2024-02-08,12.75,12.90,12.60,12.85,420000
2024-02-09,12.85,13.00,12.70,12.95,400000
2024-02-19,12.95,13.10,12.80,13.05,380000
2024-02-20,13.05,13.20,12.90,13.15,360000
2024-02-21,13.15,13.30,13.00,13.25,340000
2024-02-22,13.25,13.40,13.10,13.35,320000
2024-02-23,13.35,13.50,13.20,13.45,300000
2024-02-26,13.45,13.60,13.30,13.55,280000
2024-02-27,13.55,13.70,13.40,13.65,260000
2024-02-28,13.65,13.80,13.50,13.75,240000
2024-02-29,13.75,13.90,13.60,13.85,220000
2024-03-01,13.85,14.00,13.70,13.95,200000
2024-03-04,13.95,14.10,13.80,14.05,190000
2024-03-05,14.05,14.20,13.90,14.15,180000
2024-03-06,14.15,14.30,14.00,14.25,170000
2024-03-07,14.25,14.40,14.10,14.35,160000
2024-03-08,14.35,14.50,14.20,14.45,150000
2024-03-11,14.45,14.60,14.30,14.55,140000
2024-03-12,14.55,14.70,14.40,14.65,130000
2024-03-13,14.65,14.80,14.50,14.75,120000
2024-03-14,14.75,14.90,14.60,14.85,110000
2024-03-15,14.85,15.00,14.70,14.95,100000
2024-03-18,14.95,15.10,14.80,15.05,95000
2024-03-19,15.05,15.20,14.90,15.15,90000
2024-03-20,15.15,15.30,15.00,15.25,85000
2024-03-21,15.25,15.40,15.10,15.35,80000
2024-03-22,15.35,15.50,15.20,15.45,75000
2024-03-25,15.45,15.60,15.30,15.55,70000
2024-03-26,15.55,15.70,15.40,15.65,65000
2024-03-27,15.65,15.80,15.50,15.75,60000
2024-03-28,15.75,15.90,15.60,15.85,55000
2024-03-29,15.85,16.00,15.70,15.95,50000
2024-04-01,15.95,16.10,15.80,16.05,48000
2024-04-02,16.05,16.20,15.90,16.15,46000
2024-04-03,16.15,16.30,16.00,16.25,44000
2024-04-08,16.25,16.40,16.10,16.35,42000
2024-04-09,16.35,16.50,16.20,16.45,40000
2024-04-10,16.45,16.60,16.30,16.55,38000
2024-04-11,16.55,16.70,16.40,16.65,36000
2024-04-12,16.65,16.80,16.50,16.75,34000
2024-04-15,16.75,16.90,16.60,16.85,32000
2024-04-16,16.85,17.00,16.70,16.95,30000
2024-04-17,16.95,17.10,16.80,17.05,28000
2024-04-18,17.05,17.20,16.90,17.15,26000
2024-04-19,17.15,17.30,17.00,17.25,24000
2024-04-22,17.25,17.40,17.10,17.35,22000
2024-04-23,17.35,17.50,17.20,17.45,20000
2024-04-24,17.45,17.60,17.30,17.55,19000
2024-04-25,17.55,17.70,17.40,17.65,18000
2024-04-26,17.65,17.80,17.50,17.75,17000
2024-04-29,17.75,17.90,17.60,17.85,16000
2024-04-30,17.85,18.00,17.70,17.95,15000
2024-05-06,17.95,18.10,17.80,18.05,14000
2024-05-07,18.05,18.20,17.90,18.15,13000
2024-05-08,18.15,18.30,18.00,18.25,12000
2024-05-09,18.25,18.40,18.10,18.35,11000
2024-05-10,18.35,18.50,18.20,18.45,10000
2024-05-13,18.45,18.60,18.30,18.55,9500
2024-05-14,18.55,18.70,18.40,18.65,9000
2024-05-15,18.65,18.80,18.50,18.75,8500
2024-05-16,18.75,18.90,18.60,18.85,8000
2024-05-17,18.85,19.00,18.70,18.95,7500
2024-05-20,18.95,19.10,18.80,19.05,7000
2024-05-21,19.05,19.20,18.90,19.15,6500
2024-05-22,19.15,19.30,19.00,19.25,6000
2024-05-23,19.25,19.40,19.10,19.35,5500
2024-05-24,19.35,19.50,19.20,19.45,5000
2024-05-27,19.45,19.60,19.30,19.55,4800
2024-05-28,19.55,19.70,19.40,19.65,4600
2024-05-29,19.65,19.80,19.50,19.75,4400
2024-05-30,19.75,19.90,19.60,19.85,4200
2024-05-31,19.85,20.00,19.70,19.95,4000
2024-06-03,19.95,20.10,19.80,20.05,3800
2024-06-04,20.05,20.20,19.90,20.15,3600
2024-06-05,20.15,20.30,20.00,20.25,3400
2024-06-06,20.25,20.40,20.10,20.35,3200
2024-06-07,20.35,20.50,20.20,20.45,3000
2024-06-11,20.45,20.60,20.30,20.55,2800
2024-06-12,20.55,20.70,20.40,20.65,2600
2024-06-13,20.65,20.80,20.50,20.75,2400
2024-06-14,20.75,20.90,20.60,20.85,2200
2024-06-17,20.85,21.00,20.70,20.95,2000
2024-06-18,20.95,21.10,20.80,21.05,1900
2024-06-19,21.05,21.20,20.90,21.15,1800
2024-06-20,21.15,21.30,21.00,21.25,1700
2024-06-21,21.25,21.40,21.10,21.35,1600
2024-06-24,21.35,21.50,21.20,21.45,1500
2024-06-25,21.45,21.60,21.30,21.55,1400
2024-06-26,21.55,21.70,21.40,21.65,1300
2024-06-27,21.65,21.80,21.50,21.75,1200
2024-06-28,21.75,21.90,21.60,21.85,1100
2024-07-01,21.85,22.00,21.70,21.95,1000
2024-07-02,21.95,22.10,21.80,22.05,950
2024-07-03,22.05,22.20,21.90,22.15,900
2024-07-04,22.15,22.30,22.00,22.25,850
2024-07-05,22.25,22.40,22.10,22.35,800
2024-07-08,22.35,22.50,22.20,22.45,750
2024-07-09,22.45,22.60,22.30,22.55,700
2024-07-10,22.55,22.70,22.40,22.65,650
2024-07-11,22.65,22.80,22.50,22.75,600
2024-07-12,22.75,22.90,22.60,22.85,550
2024-07-15,22.85,23.00,22.70,22.95,500
2024-07-16,22.95,23.10,22.80,23.05,480
