编号,城市等级,城市,店名(脱敏),品类,大众点评评分,月销量(单),痛点关键词,预算意愿(元/月),决策周期(天),联系方式,来源链接,采集日期
1,一线,北京,张姐黄焖鸡,快餐-黄焖鸡,3.8,650,不会拍视频、缺客流,800,7,微信zhang138****,https://www.dianping.com/shop/l4xxxx1,2024-12-01
2,一线,北京,老王牛肉面,快餐-面食,4.1,820,想做抖音不会写文案,1200,5,微信laowang_bj,https://www.dianping.com/shop/l4xxxx2,2024-12-01
3,一线,上海,小李煎饼,小吃-煎饼,4.2,1500,排队多想引流到店,1500,3,微信xljp_sh,https://www.dianping.com/shop/l4xxxx3,2024-12-02
4,一线,上海,陈记小笼包,快餐-包子,3.9,720,外卖抽成高想自营,1000,10,微信chenjl_sh,https://www.dianping.com/shop/l4xxxx4,2024-12-02
5,一线,广州,老陈煲仔饭,快餐-煲仔,4.0,900,不懂平台规则,900,7,微信laochen_gz,https://www.dianping.com/shop/l4xxxx5,2024-12-03
6,一线,广州,阿强烧腊,快餐-烧腊,3.7,580,抖音限流,800,14,微信aqiang_gz,https://www.dianping.com/shop/l4xxxx6,2024-12-03
7,一线,深圳,小赵螺蛳粉,小吃-螺蛳粉,4.3,1200,流量波动大,1500,5,微信xzlz_sz,https://www.dianping.com/shop/l4xxxx7,2024-12-04
8,一线,深圳,何姐快餐,快餐-盒饭,3.6,540,不会做内容,700,7,微信hejie_sz,https://www.dianping.com/shop/l4xxxx8,2024-12-04
9,新一线,成都,老刘麻辣烫,快餐-麻辣烫,4.0,850,想直播不会讲,1000,7,微信lmlt_cd,https://www.dianping.com/shop/l4xxxx9,2024-12-05
10,新一线,成都,张嬢抄手,小吃-抄手,3.9,680,客流老龄化,600,14,微信zjn_cs,https://www.dianping.com/shop/l4xxx10,2024-12-05
11,新一线,杭州,小周拌面,快餐-面食,4.1,950,想做小红书,1200,5,微信xzm_hz,https://www.dianping.com/shop/l4xxx11,2024-12-06
12,新一线,杭州,王姐馄饨,小吃-馄饨,3.8,720,不会剪辑,800,10,微信wjh_hz,https://www.dianping.com/shop/l4xxx12,2024-12-06
13,新一线,武汉,何记热干面,快餐-面食,4.2,1100,想过网红店,1300,5,微信hj_wh,https://www.dianping.com/shop/l4xxx13,2024-12-07
14,新一线,武汉,小杨豆皮,小吃-豆皮,3.7,620,平台抽佣高,700,14,微信xydp_wh,https://www.dianping.com/shop/l4xxx14,2024-12-07
15,新一线,重庆,李姐酸辣粉,小吃-酸辣粉,3.9,780,想做探店合作,900,10,微信lslf_cq,https://www.dianping.com/shop/l4xxx15,2024-12-08
16,新一线,重庆,陈麻花小吃铺,小吃-麻花,3.6,500,人手不够,500,14,微信cmh_cq,https://www.dianping.com/shop/l4xxx16,2024-12-08
17,二线,济南,小孔把子肉,快餐-把子肉,4.0,860,缺曝光,800,10,微信xkbz_jn,https://www.dianping.com/shop/l4xxx17,2024-12-09
18,二线,济南,王记煎饼卷大葱,小吃-煎饼,3.8,650,想做团购,600,14,微信wjjc_jn,https://www.dianping.com/shop/l4xxx18,2024-12-09
19,二线,合肥,老孙板面,快餐-面食,3.7,580,客流下滑,500,14,微信lsbm_hf,https://www.dianping.com/shop/l4xxx19,2024-12-10
20,二线,合肥,合肥鸭油烧饼,小吃-烧饼,3.9,720,想拓外卖店,700,10,微信hfyq_hf,https://www.dianping.com/shop/l4xxx20,2024-12-10
21,三线,洛阳,小张浆面条,快餐-面食,3.6,510,不懂运营,400,21,微信xzjm_ly,https://www.dianping.com/shop/l4xxx21,2024-12-11
22,三线,洛阳,马姐烩面,快餐-烩面,3.8,600,客流不稳,500,21,微信mjhm_ly,https://www.dianping.com/shop/l4xxx22,2024-12-11
23,三线,柳州,螺丝粉老莫,小吃-螺蛳粉,4.0,820,品牌升级,600,14,微信lsf_lz,https://www.dianping.com/shop/l4xxx23,2024-12-12
24,三线,柳州,小韦螺蛳鸭脚煲,小吃-煲类,3.7,550,想做网红,500,21,微信xwyj_lz,https://www.dianping.com/shop/l4xxx24,2024-12-12
25,三线,宜昌,何记凉虾,小吃-凉虾,3.5,520,夏天客多但留不住,400,21,微信hlax_yc,https://www.dianping.com/shop/l4xxx25,2024-12-13
