time(s),torso_x,torso_y,torso_z,torso_qx,torso_qy,torso_qz,torso_qw
0.0000,0.000015,0.000000,0.449961,1.000000,-0.000000,-0.000123,-0.000000
0.1000,0.000085,0.000000,0.397967,1.000000,-0.000000,-0.000447,-0.000000
0.2000,0.000069,0.000000,0.247874,1.000000,-0.000000,-0.000371,-0.000000
0.3000,-0.002926,0.000013,0.239698,1.000000,-0.000021,-0.000024,0.000019
0.4000,-0.002989,0.000018,0.240938,1.000000,-0.000029,-0.000012,0.000026
0.5000,-0.003016,0.000011,0.241026,1.000000,-0.000016,-0.000004,0.000029
0.6000,-0.003417,0.000005,0.240242,1.000000,-0.000001,0.000017,0.000010
0.7000,-0.003349,0.000005,0.240692,1.000000,-0.000002,-0.000001,0.000011
0.8000,-0.003367,0.000005,0.240855,1.000000,-0.000001,0.000000,0.000011
0.9000,-0.003328,0.000004,0.240937,1.000000,-0.000001,0.000000,0.000011
1.0000,-0.003336,0.000004,0.241047,1.000000,-0.000000,-0.000001,0.000011
1.1000,-0.003696,0.000001,0.240202,1.000000,-0.000001,0.000008,0.000015
1.2000,-0.003653,0.000000,0.240675,1.000000,0.000001,-0.000001,0.000015
1.3000,-0.003651,0.000001,0.240855,1.000000,0.000000,0.000001,0.000015
1.4000,-0.003622,0.000001,0.240938,1.000000,0.000000,0.000000,0.000015
1.5000,-0.003637,0.000001,0.241044,1.000000,0.000000,-0.000001,0.000015
1.6000,-0.004019,0.000005,0.240218,1.000000,-0.000002,-0.000001,-0.000002
1.7000,-0.003976,0.000004,0.240678,1.000000,0.000001,0.000001,-0.000002
1.8000,-0.003979,0.000004,0.240855,1.000000,0.000000,0.000002,-0.000002
1.9000,-0.003948,0.000004,0.240938,1.000000,0.000000,0.000001,-0.000002
2.0000,-0.003962,0.000004,0.241045,1.000000,0.000000,-0.000001,-0.000002
2.1000,-0.004345,0.000000,0.240218,1.000000,0.000002,-0.000001,0.000015
2.2000,-0.004302,0.000001,0.240677,1.000000,-0.000001,0.000001,0.000015
2.3000,-0.004304,0.000001,0.240855,1.000000,-0.000000,0.000002,0.000015
2.4000,-0.004273,0.000001,0.240938,1.000000,-0.000000,0.000001,0.000015
2.5000,-0.004288,0.000001,0.241044,1.000000,-0.000000,-0.000001,0.000015
2.6000,-0.004670,0.000005,0.240218,1.000000,-0.000002,-0.000001,-0.000002
2.7000,-0.004628,0.000004,0.240677,1.000000,0.000001,0.000001,-0.000002
2.8000,-0.004630,0.000004,0.240855,1.000000,0.000000,0.000002,-0.000002
2.9000,-0.004599,0.000004,0.240938,1.000000,0.000000,0.000000,-0.000002
3.0000,-0.004613,0.000004,0.241044,1.000000,0.000000,-0.000001,-0.000002
3.1000,-0.004996,0.000000,0.240218,1.000000,0.000002,-0.000001,0.000016
3.2000,-0.004953,0.000001,0.240677,1.000000,-0.000001,0.000001,0.000015
3.3000,-0.004955,0.000001,0.240855,1.000000,-0.000000,0.000002,0.000015
3.4000,-0.004924,0.000001,0.240938,1.000000,-0.000000,0.000001,0.000015
3.5000,-0.004939,0.000001,0.241044,1.000000,-0.000000,-0.000001,0.000015
3.6000,-0.005322,0.000005,0.240218,1.000000,-0.000002,-0.000001,-0.000002
3.7000,-0.005279,0.000004,0.240677,1.000000,0.000001,0.000001,-0.000002
3.8000,-0.005281,0.000004,0.240855,1.000000,0.000000,0.000002,-0.000002
3.9000,-0.005250,0.000004,0.240938,1.000000,0.000000,0.000001,-0.000002
4.0000,-0.005264,0.000004,0.241044,1.000000,0.000000,-0.000001,-0.000002
4.1000,-0.005647,-0.000000,0.240218,1.000000,0.000002,-0.000001,0.000015
4.2000,-0.005605,0.000001,0.240677,1.000000,-0.000001,0.000001,0.000015
4.3000,-0.005607,0.000001,0.240855,1.000000,-0.000000,0.000002,0.000015
4.4000,-0.005576,0.000001,0.240938,1.000000,-0.000000,0.000001,0.000015
4.5000,-0.005590,0.000001,0.241044,1.000000,-0.000000,-0.000001,0.000015
4.6000,-0.005973,0.000005,0.240218,1.000000,-0.000002,-0.000001,-0.000002
4.7000,-0.005930,0.000004,0.240677,1.000000,0.000001,0.000001,-0.000002
4.8000,-0.005932,0.000004,0.240855,1.000000,0.000000,0.000002,-0.000002
4.9000,-0.005901,0.000004,0.240938,1.000000,0.000000,0.000001,-0.000002
5.0000,-0.005915,0.000004,0.241044,1.000000,0.000000,-0.000001,-0.000002
5.1000,-0.006298,-0.000000,0.240218,1.000000,0.000002,-0.000001,0.000015
5.2000,-0.006256,0.000001,0.240677,1.000000,-0.000001,0.000001,0.000015
5.3000,-0.006258,0.000001,0.240855,1.000000,-0.000000,0.000002,0.000015
5.4000,-0.006227,0.000001,0.240938,1.000000,-0.000000,0.000001,0.000015
5.5000,-0.006241,0.000001,0.241044,1.000000,-0.000000,-0.000001,0.000015
5.6000,-0.006624,0.000005,0.240218,1.000000,-0.000002,-0.000001,-0.000002
5.7000,-0.006581,0.000004,0.240677,1.000000,0.000001,0.000001,-0.000002
5.8000,-0.006583,0.000004,0.240855,1.000000,0.000000,0.000002,-0.000002
5.9000,-0.006552,0.000004,0.240938,1.000000,0.000000,0.000001,-0.000002
6.0000,-0.006555,0.000004,0.241041,1.000000,0.000001,0.000002,-0.000002
6.1000,-0.007017,0.000003,0.240233,1.000000,-0.000009,0.000002,0.000014
6.2000,-0.006952,-0.000002,0.240683,1.000000,0.000000,0.000000,0.000014
6.3000,-0.006955,-0.000001,0.240857,1.000000,0.000000,0.000001,0.000014
6.4000,-0.006924,-0.000001,0.240939,1.000000,0.000000,0.000001,0.000014
6.5000,-0.006938,-0.000001,0.241035,1.000000,0.000000,-0.000001,0.000014
6.6000,-0.007327,0.000002,0.240242,1.000000,-0.000001,0.000007,0.000005
6.7000,-0.007272,0.000002,0.240685,1.000000,-0.000002,0.000000,0.000005
6.8000,-0.007277,0.000002,0.240857,1.000000,-0.000001,0.000001,0.000005
6.9000,-0.007244,0.000002,0.240939,1.000000,-0.000001,0.000001,0.000005
7.0000,-0.007258,0.000002,0.241045,1.000000,-0.000000,-0.000001,0.000006
7.1000,-0.007641,-0.000003,0.240217,1.000000,0.000002,-0.000001,0.000023
7.2000,-0.007599,-0.000002,0.240678,1.000000,-0.000001,0.000001,0.000023
